date;tenor;maturity;value
01/01/2050;1;0.0833333333333333;0,028565248
02/01/2050;1;0.0833333333333333;0,029333629
03/01/2050;1;0.0833333333333333;0,028695515
05/01/2050;1;0.0833333333333333;0,030853535
06/01/2050;1;0.0833333333333333;0,030405789
08/01/2050;1;0.0833333333333333;0,030075156
09/01/2050;1;0.0833333333333333;0,029029604
11/01/2050;1;0.0833333333333333;0,029700212
12/01/2050;1;0.0833333333333333;0,027884524
14/01/2050;1;0.0833333333333333;0,029263305
15/01/2050;1;0.0833333333333333;0,028564226
17/01/2050;1;0.0833333333333333;0,028401132
18/01/2050;1;0.0833333333333333;0,028520685
20/01/2050;1;0.0833333333333333;0,026669061
21/01/2050;1;0.0833333333333333;0,029138344
22/01/2050;1;0.0833333333333333;0,028756462
24/01/2050;1;0.0833333333333333;0,02765984
25/01/2050;1;0.0833333333333333;0,026409627
27/01/2050;1;0.0833333333333333;0,026862717
28/01/2050;1;0.0833333333333333;0,028471317
30/01/2050;1;0.0833333333333333;0,028290376
31/01/2050;1;0.0833333333333333;0,029394812
02/02/2050;1;0.0833333333333333;0,029449655
03/02/2050;1;0.0833333333333333;0,027415283
05/02/2050;1;0.0833333333333333;0,027744375
06/02/2050;1;0.0833333333333333;0,026558078
08/02/2050;1;0.0833333333333333;0,026789372
09/02/2050;1;0.0833333333333333;0,028729323
10/02/2050;1;0.0833333333333333;0,028001076
12/02/2050;1;0.0833333333333333;0,030054151
13/02/2050;1;0.0833333333333333;0,032614539
15/02/2050;1;0.0833333333333333;0,033136212
16/02/2050;1;0.0833333333333333;0,030918479
18/02/2050;1;0.0833333333333333;0,030565107
19/02/2050;1;0.0833333333333333;0,031281673
21/02/2050;1;0.0833333333333333;0,031682018
22/02/2050;1;0.0833333333333333;0,031244718
24/02/2050;1;0.0833333333333333;0,030708328
25/02/2050;1;0.0833333333333333;0,029692349
27/02/2050;1;0.0833333333333333;0,030418246
28/02/2050;1;0.0833333333333333;0,030364315
01/03/2050;1;0.0833333333333333;0,030629316
03/03/2050;1;0.0833333333333333;0,030599799
04/03/2050;1;0.0833333333333333;0,028658331
06/03/2050;1;0.0833333333333333;0,02908123
07/03/2050;1;0.0833333333333333;0,029552945
09/03/2050;1;0.0833333333333333;0,029627505
10/03/2050;1;0.0833333333333333;0,028176091
12/03/2050;1;0.0833333333333333;0,029602659
13/03/2050;1;0.0833333333333333;0,031403395
15/03/2050;1;0.0833333333333333;0,030662376
16/03/2050;1;0.0833333333333333;0,03097886
18/03/2050;1;0.0833333333333333;0,03021508
19/03/2050;1;0.0833333333333333;0,03074147
20/03/2050;1;0.0833333333333333;0,028455973
22/03/2050;1;0.0833333333333333;0,028189238
23/03/2050;1;0.0833333333333333;0,027163728
25/03/2050;1;0.0833333333333333;0,027753306
26/03/2050;1;0.0833333333333333;0,027855774
28/03/2050;1;0.0833333333333333;0,026382307
29/03/2050;1;0.0833333333333333;0,026032917
31/03/2050;1;0.0833333333333333;0,024858535
01/04/2050;1;0.0833333333333333;0,026465182
03/04/2050;1;0.0833333333333333;0,027006168
04/04/2050;1;0.0833333333333333;0,027440894
06/04/2050;1;0.0833333333333333;0,027266759
07/04/2050;1;0.0833333333333333;0,026529612
09/04/2050;1;0.0833333333333333;0,0263183
10/04/2050;1;0.0833333333333333;0,026606478
11/04/2050;1;0.0833333333333333;0,027228602
13/04/2050;1;0.0833333333333333;0,028257019
14/04/2050;1;0.0833333333333333;0,025947039
16/04/2050;1;0.0833333333333333;0,02561899
17/04/2050;1;0.0833333333333333;0,025445245
19/04/2050;1;0.0833333333333333;0,026825445
20/04/2050;1;0.0833333333333333;0,027324385
22/04/2050;1;0.0833333333333333;0,028020507
23/04/2050;1;0.0833333333333333;0,029036985
25/04/2050;1;0.0833333333333333;0,029136358
26/04/2050;1;0.0833333333333333;0,02931978
28/04/2050;1;0.0833333333333333;0,029681307
29/04/2050;1;0.0833333333333333;0,031914907
30/04/2050;1;0.0833333333333333;0,032510337
02/05/2050;1;0.0833333333333333;0,033879869
03/05/2050;1;0.0833333333333333;0,035333189
05/05/2050;1;0.0833333333333333;0,034686906
06/05/2050;1;0.0833333333333333;0,033900553
08/05/2050;1;0.0833333333333333;0,033552105
09/05/2050;1;0.0833333333333333;0,034906172
11/05/2050;1;0.0833333333333333;0,037669734
12/05/2050;1;0.0833333333333333;0,035323174
14/05/2050;1;0.0833333333333333;0,036180826
15/05/2050;1;0.0833333333333333;0,03764687
17/05/2050;1;0.0833333333333333;0,039068317
18/05/2050;1;0.0833333333333333;0,042263117
19/05/2050;1;0.0833333333333333;0,040668032
21/05/2050;1;0.0833333333333333;0,038121181
22/05/2050;1;0.0833333333333333;0,041111859
24/05/2050;1;0.0833333333333333;0,043326538
25/05/2050;1;0.0833333333333333;0,039972939
27/05/2050;1;0.0833333333333333;0,035414461
28/05/2050;1;0.0833333333333333;0,036012397
30/05/2050;1;0.0833333333333333;0,037890789
31/05/2050;1;0.0833333333333333;0,042380775
02/06/2050;1;0.0833333333333333;0,042354532
03/06/2050;1;0.0833333333333333;0,040076467
05/06/2050;1;0.0833333333333333;0,038357041
06/06/2050;1;0.0833333333333333;0,035444357
07/06/2050;1;0.0833333333333333;0,036708423
09/06/2050;1;0.0833333333333333;0,035038724
10/06/2050;1;0.0833333333333333;0,036397948
12/06/2050;1;0.0833333333333333;0,036190214
13/06/2050;1;0.0833333333333333;0,034713992
15/06/2050;1;0.0833333333333333;0,034434097
16/06/2050;1;0.0833333333333333;0,036630012
